tier	genome	nn_ani	fdr	n_links
0.1x	GCF_022369495.1_ASM2236949v1_genomic	91.93	0.024975	67709
0.1x	GCF_023374935.1_ASM2337493v1_genomic	94.33	0.005245	80451
0.1x	GCF_023517775.1_ASM2351777v1_genomic	89.45	0.000000	75458
0.1x	GCF_024224615.1_ASM2422461v1_genomic	86.72	0.000000	77702
0.1x	GCF_030053895.1_ASM3005389v1_genomic	82.74	0.011715	76480
0.1x	GCF_030315915.2_ASM3031591v2_genomic	94.53	0.011121	66900
0.1x	GCF_030505655.1_ASM3050565v1_genomic	95.46	0.002612	92258
0.1x	GCF_035747985.1_ASM3574798v1_genomic	85.10	0.015279	76706
0.1x	GCF_036898185.1_ASM3689818v1_genomic	92.25	0.002094	74495
0.1x	GCF_039718975.1_ASM3971897v1_genomic	93.91	0.014606	75038
0.1x	GCF_041320245.1_ASM4132024v1_genomic	92.48	0.009312	84086
0.1x	GCF_041937165.1_UNISA_Eadel_1.0_genomic	91.02	0.014055	76345
0.1x	GCF_041953975.1_ASM4195397v1_genomic	85.10	0.011668	71820
0.1x	GCF_047344975.1_ASM4734497v1_genomic	99.95	0.156036	878
0.1x	GCF_048568405.1_ASM4856840v1_genomic	94.32	0.021703	74827
0.1x	GCF_049569765.1_ASM4956976v1_genomic	99.98	0.059513	10149
0.1x	GCF_049942935.1_z1159_genomic	83.42	0.006073	77391
0.1x	GCF_905331265.2_AI2999v1_cpp_genomic	89.80	0.003114	79007
0.1x	GCF_949794035.1_EBP3064_genome_genomic	91.68	0.000539	90894
0.2x	GCA_000167875.2_ASM16787v2_genomic	99.67	0.128573	30263
0.2x	GCF_000005845.2_ASM584v2_genomic	99.97	0.159079	3866
0.2x	GCF_000009065.1_ASM906v1_genomic	99.29	0.007074	115066
0.2x	GCF_000240185.1_ASM24018v2_genomic	94.97	0.045563	136098
0.2x	GCF_000264765.2_ASM26476v2_genomic	94.82	0.004069	104198
0.2x	GCF_000968515.1_ASM96851v1_genomic	99.59	0.222209	17020
0.2x	GCF_001022135.1_ASM102213v1_genomic	85.61	0.043247	145211
0.2x	GCF_001277215.2_ASM127721v2_genomic	94.82	0.007827	108089
0.2x	GCF_001559675.1_ASM155967v1_genomic	99.97	0.144652	11061
0.2x	GCF_003112245.1_ASM311224v1_genomic	99.98	0.077934	19940
0.2x	GCF_004684345.1_ASM468434v1_genomic	88.42	0.002064	113869
0.2x	GCF_008124285.1_ASM812428v1_genomic	99.95	0.111272	5536
0.2x	GCF_009649915.1_ASM964991v1_genomic	85.95	0.020850	117409
0.2x	GCF_011045835.1_ASM1104583v1_genomic	93.02	0.097019	103402
0.2x	GCF_018128425.1_ASM1812842v1_genomic	87.42	0.038136	118105
0.2x	GCF_020150375.1_ASM2015037v1_genomic	84.69	0.003188	116682
0.2x	GCF_021278985.1_ASM2127898v1_genomic	87.42	0.016486	127020
0.2x	GCF_022369495.1_ASM2236949v1_genomic	91.93	0.055185	100408
0.2x	GCF_023374935.1_ASM2337493v1_genomic	94.33	0.015401	123111
0.2x	GCF_023517775.1_ASM2351777v1_genomic	89.45	0.000000	106689
0.2x	GCF_024224615.1_ASM2422461v1_genomic	86.72	0.000000	112685
0.2x	GCF_030053895.1_ASM3005389v1_genomic	82.74	0.029317	113894
0.2x	GCF_030315915.2_ASM3031591v2_genomic	94.53	0.014279	91950
0.2x	GCF_030505655.1_ASM3050565v1_genomic	95.46	0.006023	137961
0.2x	GCF_035747985.1_ASM3574798v1_genomic	85.10	0.031724	108939
0.2x	GCF_036898185.1_ASM3689818v1_genomic	92.25	0.009119	108241
0.2x	GCF_039718975.1_ASM3971897v1_genomic	93.91	0.036036	115635
0.2x	GCF_041320245.1_ASM4132024v1_genomic	92.48	0.021346	132154
0.2x	GCF_041937165.1_UNISA_Eadel_1.0_genomic	91.02	0.026047	118670
0.2x	GCF_041953975.1_ASM4195397v1_genomic	85.10	0.017839	103986
0.2x	GCF_047344975.1_ASM4734497v1_genomic	99.95	0.160794	3122
0.2x	GCF_048568405.1_ASM4856840v1_genomic	94.32	0.038825	116367
0.2x	GCF_049569765.1_ASM4956976v1_genomic	99.98	0.093354	27701
0.2x	GCF_049942935.1_z1159_genomic	83.42	0.017725	112891
0.2x	GCF_905331265.2_AI2999v1_cpp_genomic	89.80	0.009077	116890
0.2x	GCF_949794035.1_EBP3064_genome_genomic	91.68	0.001023	131001
0.4x	GCA_000167875.2_ASM16787v2_genomic	99.67	0.209329	70554
0.4x	GCF_000005845.2_ASM584v2_genomic	99.97	0.189136	18796
0.4x	GCF_000009065.1_ASM906v1_genomic	99.29	0.015516	130508
0.4x	GCF_000240185.1_ASM24018v2_genomic	94.97	0.078907	163813
0.4x	GCF_000264765.2_ASM26476v2_genomic	94.82	0.007811	116756
0.4x	GCF_000968515.1_ASM96851v1_genomic	99.59	0.335639	46559
0.4x	GCF_001022135.1_ASM102213v1_genomic	85.61	0.086898	179244
0.4x	GCF_001277215.2_ASM127721v2_genomic	94.82	0.014212	123064
0.4x	GCF_001559675.1_ASM155967v1_genomic	99.97	0.209973	23665
0.4x	GCF_003112245.1_ASM311224v1_genomic	99.98	0.130094	48411
0.4x	GCF_004684345.1_ASM468434v1_genomic	88.42	0.012484	132572
0.4x	GCF_008124285.1_ASM812428v1_genomic	99.95	0.151771	21717
0.4x	GCF_009649915.1_ASM964991v1_genomic	85.95	0.047689	138523
0.4x	GCF_011045835.1_ASM1104583v1_genomic	93.02	0.139980	123968
0.4x	GCF_018128425.1_ASM1812842v1_genomic	87.42	0.071995	142162
0.4x	GCF_020150375.1_ASM2015037v1_genomic	84.69	0.008779	133047
0.4x	GCF_021278985.1_ASM2127898v1_genomic	87.42	0.024230	147460
0.4x	GCF_022369495.1_ASM2236949v1_genomic	91.93	0.090959	118251
0.4x	GCF_023374935.1_ASM2337493v1_genomic	94.33	0.045239	147816
0.4x	GCF_023517775.1_ASM2351777v1_genomic	89.45	0.000042	119986
0.4x	GCF_024224615.1_ASM2422461v1_genomic	86.72	0.000599	128579
0.4x	GCF_030053895.1_ASM3005389v1_genomic	82.74	0.065982	134915
0.4x	GCF_030315915.2_ASM3031591v2_genomic	94.53	0.033050	105236
0.4x	GCF_030505655.1_ASM3050565v1_genomic	95.46	0.018522	161159
0.4x	GCF_035747985.1_ASM3574798v1_genomic	85.10	0.063942	127819
0.4x	GCF_036898185.1_ASM3689818v1_genomic	92.25	0.027691	125238
0.4x	GCF_039718975.1_ASM3971897v1_genomic	93.91	0.085821	142308
0.4x	GCF_041320245.1_ASM4132024v1_genomic	92.48	0.052972	162011
0.4x	GCF_041937165.1_UNISA_Eadel_1.0_genomic	91.02	0.064915	145375
0.4x	GCF_041953975.1_ASM4195397v1_genomic	85.10	0.047221	122148
0.4x	GCF_047344975.1_ASM4734497v1_genomic	99.95	0.239022	13823
0.4x	GCF_048568405.1_ASM4856840v1_genomic	94.32	0.092078	143845
0.4x	GCF_049569765.1_ASM4956976v1_genomic	99.98	0.135243	57223
0.4x	GCF_049942935.1_z1159_genomic	83.42	0.031028	130172
0.4x	GCF_905331265.2_AI2999v1_cpp_genomic	89.80	0.025664	136883
0.4x	GCF_949794035.1_EBP3064_genome_genomic	91.68	0.002980	149643
0.8x	GCA_000167875.2_ASM16787v2_genomic	99.67	0.335543	145448
0.8x	GCF_000005845.2_ASM584v2_genomic	99.97	0.220519	75091
0.8x	GCF_000009065.1_ASM906v1_genomic	99.29	0.022545	135685
0.8x	GCF_000240185.1_ASM24018v2_genomic	94.97	0.113586	177196
0.8x	GCF_000264765.2_ASM26476v2_genomic	94.82	0.022166	121314
0.8x	GCF_000968515.1_ASM96851v1_genomic	99.59	0.544512	127527
0.8x	GCF_001022135.1_ASM102213v1_genomic	85.61	0.131679	196600
0.8x	GCF_001277215.2_ASM127721v2_genomic	94.82	0.026959	128121
0.8x	GCF_001559675.1_ASM155967v1_genomic	99.97	0.296979	54014
0.8x	GCF_003112245.1_ASM311224v1_genomic	99.98	0.209551	101269
0.8x	GCF_004684345.1_ASM468434v1_genomic	88.42	0.036704	140586
0.8x	GCF_008124285.1_ASM812428v1_genomic	99.95	0.199551	76091
0.8x	GCF_009649915.1_ASM964991v1_genomic	85.95	0.087884	149322
0.8x	GCF_011045835.1_ASM1104583v1_genomic	93.02	0.187427	135930
0.8x	GCF_018128425.1_ASM1812842v1_genomic	87.42	0.117218	155027
0.8x	GCF_020150375.1_ASM2015037v1_genomic	84.69	0.023759	139021
0.8x	GCF_021278985.1_ASM2127898v1_genomic	87.42	0.036572	154573
0.8x	GCF_022369495.1_ASM2236949v1_genomic	91.93	0.143513	129089
0.8x	GCF_023374935.1_ASM2337493v1_genomic	94.33	0.095278	161978
0.8x	GCF_023517775.1_ASM2351777v1_genomic	89.45	0.000454	123240
0.8x	GCF_024224615.1_ASM2422461v1_genomic	86.72	0.002696	132775
0.8x	GCF_030053895.1_ASM3005389v1_genomic	82.74	0.113390	146926
0.8x	GCF_030315915.2_ASM3031591v2_genomic	94.53	0.059739	111367
0.8x	GCF_030505655.1_ASM3050565v1_genomic	95.46	0.036326	169825
0.8x	GCF_035747985.1_ASM3574798v1_genomic	85.10	0.097986	136642
0.8x	GCF_036898185.1_ASM3689818v1_genomic	92.25	0.065226	134180
0.8x	GCF_039718975.1_ASM3971897v1_genomic	93.91	0.182160	164970
0.8x	GCF_041320245.1_ASM4132024v1_genomic	92.48	0.107303	179856
0.8x	GCF_041937165.1_UNISA_Eadel_1.0_genomic	91.02	0.115557	161072
0.8x	GCF_041953975.1_ASM4195397v1_genomic	85.10	0.122051	136508
0.8x	GCF_047344975.1_ASM4734497v1_genomic	99.95	0.328656	49240
0.8x	GCF_048568405.1_ASM4856840v1_genomic	94.32	0.170976	163818
0.8x	GCF_049569765.1_ASM4956976v1_genomic	99.98	0.187358	106646
0.8x	GCF_049942935.1_z1159_genomic	83.42	0.051255	137040
0.8x	GCF_905331265.2_AI2999v1_cpp_genomic	89.80	0.071883	148534
0.8x	GCF_949794035.1_EBP3064_genome_genomic	91.68	0.007267	154954
1x	GCA_000167875.2_ASM16787v2_genomic	99.67	0.302771	142877
1x	GCF_000005845.2_ASM584v2_genomic	99.97	0.234863	117196
1x	GCF_000009065.1_ASM906v1_genomic	99.29	0.024244	136324
1x	GCF_000240185.1_ASM24018v2_genomic	94.97	0.124730	180349
1x	GCF_000264765.2_ASM26476v2_genomic	94.82	0.036237	123382
1x	GCF_000968515.1_ASM96851v1_genomic	99.59	0.615295	188061
1x	GCF_001022135.1_ASM102213v1_genomic	85.61	0.152172	202212
1x	GCF_001277215.2_ASM127721v2_genomic	94.82	0.032068	129133
1x	GCF_001559675.1_ASM155967v1_genomic	99.97	0.333789	77573
1x	GCF_003112245.1_ASM311224v1_genomic	99.98	0.186774	97562
1x	GCF_004684345.1_ASM468434v1_genomic	88.42	0.057467	144170
1x	GCF_008124285.1_ASM812428v1_genomic	99.95	0.219608	117851
1x	GCF_009649915.1_ASM964991v1_genomic	85.95	0.104939	152594
1x	GCF_011045835.1_ASM1104583v1_genomic	93.02	0.202348	138954
1x	GCF_018128425.1_ASM1812842v1_genomic	87.42	0.138552	159363
1x	GCF_020150375.1_ASM2015037v1_genomic	84.69	0.034736	140979
1x	GCF_021278985.1_ASM2127898v1_genomic	87.42	0.041666	156001
1x	GCF_022369495.1_ASM2236949v1_genomic	91.93	0.162857	132411
1x	GCF_023374935.1_ASM2337493v1_genomic	94.33	0.122559	167675
1x	GCF_023517775.1_ASM2351777v1_genomic	89.45	0.001537	123629
1x	GCF_024224615.1_ASM2422461v1_genomic	86.72	0.003834	133276
1x	GCF_030053895.1_ASM3005389v1_genomic	82.74	0.129907	150184
1x	GCF_030315915.2_ASM3031591v2_genomic	94.53	0.070782	112967
1x	GCF_030505655.1_ASM3050565v1_genomic	95.46	0.042721	171531
1x	GCF_035747985.1_ASM3574798v1_genomic	85.10	0.113463	139420
1x	GCF_036898185.1_ASM3689818v1_genomic	92.25	0.081126	136911
1x	GCF_039718975.1_ASM3971897v1_genomic	93.91	0.214559	172507
1x	GCF_041320245.1_ASM4132024v1_genomic	92.48	0.128254	185015
1x	GCF_041937165.1_UNISA_Eadel_1.0_genomic	91.02	0.134314	165337
1x	GCF_041953975.1_ASM4195397v1_genomic	85.10	0.144705	140548
1x	GCF_047344975.1_ASM4734497v1_genomic	99.95	0.361670	75685
1x	GCF_048568405.1_ASM4856840v1_genomic	94.32	0.204297	171432
1x	GCF_049569765.1_ASM4956976v1_genomic	99.98	0.172067	103657
1x	GCF_049942935.1_z1159_genomic	83.42	0.056913	138229
1x	GCF_905331265.2_AI2999v1_cpp_genomic	89.80	0.090251	151965
1x	GCF_949794035.1_EBP3064_genome_genomic	91.68	0.012248	156112
